address,rssi
aterm-f6b548-a,-91
aterm-4d5546-a,-90
aterm-0de71f-a,-90
aterm-d13295-a,-89
aterm-a6da59-a,-88
aterm-1d2fcf-a,-88
Buffalo-A-A6E8,-87
elecom-s-319ed8,-87
elecom-319ed85G,-87
30AAE4F2481A-5G,-86
Buffalo-A-8D88,-86
ZERO(2.4GHz),-83
aterm-d592e7-a,-83
5C6199C69A08-5G,-83
aterm-a188b6-a,-82
aterm-fc6db3-a,-80
Buffalo-A-67EE,-80
aterm-0ed314-a,-79
aterm-8347ee-g,-75
elecom-319ed8,-75
A0957FD34E29-5G,-75
aterm-61c919-a,-75
Buffalo-G-8D88,-74
elecom-s-319ed8,-74
aterm-7b9be3-a,-73
001D73B7D6BE,-70
PS4-068BA6B1B560,-70
aterm-fc6db3-g,-69
A0957FD34E29-2G,-69
aterm-7b9be3-g,-67
aterm-0ed314-g,-67
Buffalo-G-67EE,-66
aterm-75d65d-a,-65
aterm-b81467-g,-62
aterm-61c919-g,-56
aterm-ab3547-g,-43
aterm-a8d743-a,-39
aterm-75d65d-a,-68
aterm-b81467-a,-63
aterm-ab3547-a,-46
aterm-a8d743-a,-37
