SSID,RSSI
Buffalo-A-8118,-91
aterm-5a47f7-a,-91
aterm-4d5546-a,-90
aterm-f6b548-a,-90
aterm-0de71f-a,-89
aterm-c700ad-a,-86
30AAE4F2481A-5G,-86
KOUKI_Wi-Fi,-85
Buffalo-A-8D88,-85
Buffalo-A-A6E8,-84
Buffalo-24A0,-83
elecom-s-319ed8,-83
elecom-319ed85G,-83
aterm-d592e7-a,-82
Buffalo-24A0-WPA3,-81
5C6199C69A08-5G,-81
aterm-fc6db3-a,-81
Buffalo-A-67EE,-81
PS4-068BA6B1B560,-80
elecom-319ed8,-79
aterm-0ed314-a,-79
Buffalo-G-7A28,-78
elecom-s-319ed8,-78
elecom2g-503c09,-77
aterm-61c919-a,-77
5C6199C69A08-2G,-76
HP-Print-27-Deskjet 3520 series,-76
A0957FD34E29-5G,-76
A0957FD34E29-2G,-75
001D73B7D6BE,-74
aterm-7b9be3-a,-73
aterm-e5dc44-g,-72
aterm-8347ee-g,-72
Buffalo-G-67EE,-72
aterm-7b9be3-g,-67
aterm-0ed314-g,-66
aterm-61c919-g,-64
aterm-b81467-g,-60
aterm-75d65d-a,-57
aterm-ab3547-g,-50
aterm-a8d743-a,-41
aterm-75d65d-a,-68
aterm-b81467-a,-63
aterm-ab3547-a,-45
aterm-a8d743-a,-37
