address,rssi
aterm-a188b6-a,-94
AIT_8-605,-92
Buffalo-A-67EE,-92
Buffalo-A-8D88,-92
PS4-068BA6B1B560,-92
elecom2g-7e9329,-91
aterm-61c919-a,-91
Galaxy_5GMW_0145,-91
30AAE4F2481A-5G,-90
aterm-8347ee-g,-90
aterm-0de71f-g,-90
A0957FD34E29-5G,-90
A0957FD34E29-2G,-88
elecom-s-319ed8,-88
aterm-0ed314-a,-88
elecom2g-503c09,-87
aterm-d13295-g,-87
elecom-319ed85G,-87
aterm-61c919-g,-86
elecom-319ed8,-86
30AAE4F2481A-2G,-85
aterm-7b9be3-a,-85
aterm-fc6db3-a,-83
aterm-75d65d-a,-81
aterm-e5dc44-g,-80
Buffalo-G-67EE,-77
Buffalo-G-8D88,-76
elecom-s-319ed8,-75
aterm-7b9be3-g,-72
aterm-fc6db3-g,-71
aterm-b81467-g,-67
aterm-75d65d-a,-57
aterm-a8d743-a,-51
aterm-ab3547-g,-51
aterm-b81467-a,-67
aterm-a8d743-a,-56
aterm-ab3547-a,-54
